dungeon,coordinate,marker_id,type,learned_action,learned_notes,status
Alunze_Castle_Basement,AF130,eee957492969,monster,,,discover_at_runtime
Alunze_Castle_Basement,AN130,727a9d2d2619,walkable,,,discover_at_runtime
Alunze_Castle_Basement,AC146,919baa39d43c,monster,,,discover_at_runtime
Alunze_Castle_Basement,P151,67a5fda416e0,door,,,discover_at_runtime
Alunze_Castle_Basement,K153,4a2f2b45dab9,monster,,,discover_at_runtime
Alunze_Castle_Basement,AT136,534813a7ea9c,monster,,,discover_at_runtime
Alunze_Castle_Basement,AW147,e43657d753aa,monster,,,discover_at_runtime
Alunze_Castle_Basement,BK140,2f3ccee46ebc,monster,,,discover_at_runtime
Alunze_Castle_Basement,BI146,125804ee8afa,monster,,,discover_at_runtime
Alunze_Castle_Basement,BK133,63ecdbdd9569,monster,,,discover_at_runtime
Alunze_Castle_Basement,BJ147,d23a9c610b0d,chest,,,discover_at_runtime
Alunze_Castle_Basement,BD154,3fbbbbce9306,monster,,,discover_at_runtime
Alunze_Castle_Basement,BE147,99bd647a11ab,puzzle,,,discover_at_runtime
Alunze_Castle_Basement,BE148,75bc7495ba15,puzzle,,,discover_at_runtime
Alunze_Castle_Basement,BE149,c86326e88e79,puzzle,,,discover_at_runtime
Alunze_Castle_Basement,U115,34ab58a72d2a,monster,,,discover_at_runtime
Alunze_Castle_Basement,AI109,b1addeb80a54,puzzle,,,discover_at_runtime
Alunze_Castle_Basement,AH110,fd3a9023f0d9,monster,,,discover_at_runtime
Alunze_Castle_Basement,W99,67973adb0e51,monster,,,discover_at_runtime
Alunze_Castle_Basement,T98,b3e29ca6e0af,monster,,,discover_at_runtime
Alunze_Castle_Basement,AL99,ade6e925e63c,monster,,,discover_at_runtime
Alunze_Castle_Basement,AQ100,11448166b5a6,monster,,,discover_at_runtime
Alunze_Castle_Basement,BA97,8f59ca8077ee,blocked,,,discover_at_runtime
Alunze_Castle_Basement,BD107,5bdf2af87b6f,monster,,,discover_at_runtime
Alunze_Castle_Basement,AJ58,f4e7b20ca161,monster,,,discover_at_runtime
Alunze_Castle_Basement,S59,e26b9f4c9e3c,monster,,,discover_at_runtime
Alunze_Castle_Basement,N58,4dc79f31e8cc,monster,,,discover_at_runtime
Alunze_Castle_Basement,I58,4a2f5ec8fd2d,monster,,,discover_at_runtime
Alunze_Castle_Basement,Z45,574e7bf6daa4,monster,,,discover_at_runtime
Alunze_Castle_Basement,BA38,991bf5c75b00,monster,,,discover_at_runtime
Alunze_Castle_Basement,AN42,8606f24c6553,monster,,,discover_at_runtime
Alunze_Northwest_Cave,AA167,baccde58dfcc,monster,,,discover_at_runtime
