dungeon,coordinate,traversal,object,required_action,notes
Secret_Skills_Cave,AK63,confirmed_walkable,player_probe,,dungeon entrance / exit
,AL63,confirmed_walkable,player_probe,,dungeon entrance / exit
,AE62,blocked,wall,,
,AF62,blocked,wall,,
,AG62,blocked,wall,,
,AH62,blocked,wall,,
,AI62,blocked,wall,,
,AJ62,blocked,wall,,
,AM62,blocked,wall,,
,AN62,blocked,wall,,
,AO62,blocked,wall,,
,AP62,blocked,wall,,
,AQ62,blocked,wall,,
,AR62,blocked,wall,,
,AS62,blocked,wall,,
,AS61,blocked,wall,,
,AT61,blocked,wall,,
,AT60,blocked,wall,,
,AT59,blocked,wall,,
,AT58,blocked,wall,,
,AT57,blocked,wall,,
,AT56,blocked,wall,,
,AT55,blocked,wall,,
,AT54,blocked,wall,,
,AT53,blocked,wall,,
,AR52,blocked,Priest NPC,Talk,"Save, Heal, Cure"
,AS52,blocked,wall,,
,AR51,blocked,wall,,
,AQ50,blocked,wall,,
,AP50,blocked,wall,,
,AO50,blocked,wall,,
,AN50,blocked,wall,,
,AM50,blocked,wall,,
,AK50,confirmed_walkable,door,,
,AL50,confirmed_walkable,door,,
,AJ50,blocked,wall,,
,AI50,blocked,wall,,
,AH50,blocked,wall,,
,AG50,blocked,wall,,
,AF50,blocked,wall,,
,AE52,blocked,Elf NPC,Talk,"Chat, Hint"
,AD52,blocked,wall,,
,AC52,blocked,wall,,
,AC53,blocked,wall,,
,AC54,blocked,wall,,
,AC55,blocked,wall,,
,AC56,blocked,wall,,
,AC57,blocked,wall,,
,AC58,blocked,wall,,
,AC59,blocked,wall,,
,AC60,blocked,wall,,
,AC61,blocked,wall,,
,AD61,blocked,wall,,
,AJ63,blocked,wall,,
,AM63,blocked,wall,,
,AD57,confirmed_walkable,player_probe,,
,AK49,confirmed_walkable,player_probe,,
,AL49,confirmed_walkable,player_probe,,
,AK47,confirmed_walkable,player_probe,,
,AL47,confirmed_walkable,player_probe,,
,AM47,blocked,wall,,
,AN47,blocked,wall,,
,AO47,blocked,wall,,
,AO46,blocked,wall,,
,AP46,blocked,wall,,
,AQ45,blocked,wall,,
,AR44,blocked,wall,,
,AR43,blocked,wall,,
,AR42,blocked,wall,,
,AR41,blocked,wall,,
,AR40,blocked,wall,,
,AR39,blocked,wall,,
,AR38,blocked,wall,,
,AQ38,blocked,wall,,
,AP37,blocked,wall,,
,AO37,blocked,wall,,
,AN37,blocked,wall,,
,AM37,blocked,wall,,
,AL37,confirmed_walkable,door,,
,AK37,confirmed_walkable,door,,
,AJ37,blocked,wall,,
,AI37,blocked,wall,,
,AH37,blocked,wall,,
,AG37,blocked,wall,,
,AG38,blocked,wall,,
,AF38,blocked,wall,,
,AE39,blocked,wall,,
,AD39,blocked,wall,,
,AD40,blocked,wall,,
,AD41,blocked,wall,,
,AD42,blocked,wall,,
,AD43,blocked,wall,,
,AD44,blocked,wall,,
,AD45,blocked,wall,,
,AE45,blocked,wall,,
,AE46,blocked,wall,,
,AF46,blocked,wall,,
,AF47,blocked,wall,,
,AG47,blocked,wall,,
,AH47,blocked,wall,,
,AI47,blocked,wall,,
,AJ47,blocked,wall,,
,AK42,conditional,monster,move_away_or_defeat,fight optional; the monster moves away from these cells
,AL42,conditional,monster,move_away_or_defeat,fight optional; the monster moves away from these cells
,AK36,confirmed_walkable,player_probe,,
,AL36,confirmed_walkable,player_probe,,
,AK35,confirmed_walkable,player_probe,,
,AL35,confirmed_walkable,player_probe,,
,AK34,confirmed_walkable,player_probe,,
,AL34,confirmed_walkable,player_probe,,
,AI28,conditional,puzzle,shoot arrow or hook,"Look left, turn lever to complete bridge at AF30 / AG30"
,AB28,blocked,lever,,
,AC28,blocked,lever,,
,AF30,conditional,puzzle,shoot arrow or hook,shoot lever from AI28 first to  complete bridge at AF30 / AG30
,AG30,conditional,puzzle,shoot arrow or hook,shoot lever from AI28 first to  complete bridge at AF30 / AG31
,AE33,blocked,player_probe,,
,AF33,blocked,player_probe,,
,AG33,blocked,player_probe,,
,AH33,blocked,player_probe,,
,AE32,blocked,player_probe,,
,AF32,blocked,player_probe,,
,AG32,blocked,player_probe,,
,AH32,blocked,player_probe,,
,AE31,blocked,player_probe,,
,AF31,blocked,player_probe,,
,AG31,blocked,player_probe,,
,AH31,blocked,player_probe,,
,AE29,blocked,player_probe,,
,AF29,blocked,player_probe,,
,AG29,blocked,player_probe,,
,AH29,blocked,player_probe,,
,AE28,blocked,player_probe,,
,AF28,blocked,player_probe,,
,AG28,blocked,player_probe,,
,AH28,blocked,player_probe,,
,AF27,blocked,player_probe,,
,AG27,blocked,player_probe,,
,AH27,blocked,player_probe,,
,AI27,blocked,player_probe,,
,AJ27,blocked,player_probe,,
,AK27,blocked,player_probe,,
,AF26,blocked,player_probe,,
,AG26,blocked,player_probe,,
,AH26,blocked,player_probe,,
,AI26,blocked,player_probe,,
,AJ26,blocked,player_probe,,
,AK26,blocked,player_probe,,
,AF25,blocked,player_probe,,
,AG25,blocked,player_probe,,
,AH25,blocked,player_probe,,
,AI25,blocked,player_probe,,
,AJ25,blocked,player_probe,,
,AK25,blocked,player_probe,,
,W26,confirmed_walkable,door,,
,X26,confirmed_walkable,door,,
,W25,confirmed_walkable,player_probe,,
,X25,confirmed_walkable,player_probe,,
,W24,confirmed_walkable,player_probe,,
,X24,confirmed_walkable,player_probe,,
,W23,confirmed_walkable,player_probe,,
,X23,confirmed_walkable,player_probe,,
,S23,confirmed_walkable,player_probe,,
,T23,confirmed_walkable,player_probe,,
,S24,confirmed_walkable,player_probe,,
,T24,confirmed_walkable,player_probe,,
,S25,confirmed_walkable,player_probe,,
,T25,confirmed_walkable,player_probe,,
,S26,confirmed_walkable,door,,
,T26,confirmed_walkable,door,,
,M28,confirmed_walkable,player_probe,,
,K21,confirmed_walkable,player_probe,,
,L21,confirmed_walkable,player_probe,,
,L25,conditional,pillar,push,"push pillar to G24, F24"
,G24,conditional,floor switch,press,place pillar from L25 to open door at I20
,F24,conditional,floor switch,press,place pillar from L25 to open door at I20
,I20,conditional,door,open,"unlocks when floor switch at G24, F24 is pressed"
,I19,confirmed_walkable,player_probe,,
,I18,confirmed_walkable,player_probe,,
,I17,confirmed_walkable,player_probe,,
,J13,confirmed_walkable,jump,hold right,
,J12,confirmed_walkable,jump,hold right,
,J11,confirmed_walkable,jump,hold right,
,N7,confirmed_walkable,jump,hold down,
,O7,confirmed_walkable,jump,hold down,
