dungeon,source_image,image_width,image_height,grid_width,grid_height,runtime_alignment,review_status,grid_coordinates,annotations
Alunze_Castle_Basement,emulator\maps\Dungeons\Alunze_Castle_Basement\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Alunze_Castle_Basement.png,1255,2570,79,161,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Alunze_Castle_Basement\navigation\grid_coordinates.png,emulator\maps\Dungeons\Alunze_Castle_Basement\annotations.json
Alunze_Northwest_Cave,emulator\maps\Dungeons\Alunze_Northwest_Cave\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Alunze_Northwest_Cave.png,1000,2899,63,182,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Alunze_Northwest_Cave\navigation\grid_coordinates.png,emulator\maps\Dungeons\Alunze_Northwest_Cave\annotations.json
Ancient_Tower,emulator\maps\Dungeons\Ancient_Tower\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Ancient_Tower.png,2456,2600,154,163,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Ancient_Tower\navigation\grid_coordinates.png,emulator\maps\Dungeons\Ancient_Tower\annotations.json
Cave_To_Bound_Kingdom,emulator\maps\Dungeons\Cave_To_Bound_Kingdom\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Cave_To_Bound_Kingdom.png,972,1154,61,73,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Cave_To_Bound_Kingdom\navigation\grid_coordinates.png,emulator\maps\Dungeons\Cave_To_Bound_Kingdom\annotations.json
Cave_to_Sundletan,emulator\maps\Dungeons\Cave_to_Sundletan\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Cave_To_Sundletan.png,1141,1419,72,89,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Cave_to_Sundletan\navigation\grid_coordinates.png,emulator\maps\Dungeons\Cave_to_Sundletan\annotations.json
Dankirk_North_Dungeon,emulator\maps\Dungeons\Dankirk_North_Dungeon\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Dankirk_North_Dungeon.png,2464,1452,154,91,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Dankirk_North_Dungeon\navigation\grid_coordinates.png,emulator\maps\Dungeons\Dankirk_North_Dungeon\annotations.json
Daos' Shrine,emulator\maps\Dungeons\Daos' Shrine\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Daos'_Shrine.png,1588,1572,100,99,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Daos' Shrine\navigation\grid_coordinates.png,emulator\maps\Dungeons\Daos' Shrine\annotations.json
Divine_Shrine,emulator\maps\Dungeons\Divine_Shrine\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Divine_Shrine.png,2404,1272,151,80,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Divine_Shrine\navigation\grid_coordinates.png,emulator\maps\Dungeons\Divine_Shrine\annotations.json
Dragon_Mountain,emulator\maps\Dungeons\Dragon_Mountain\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Dragon_Mountain.png,2728,1700,171,107,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Dragon_Mountain\navigation\grid_coordinates.png,emulator\maps\Dungeons\Dragon_Mountain\annotations.json
Flower_Mountain,emulator\maps\Dungeons\Flower_Mountain\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Flower_Mountain.png,1576,1812,99,114,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Flower_Mountain\navigation\grid_coordinates.png,emulator\maps\Dungeons\Flower_Mountain\annotations.json
Gordovan_West_Tower,emulator\maps\Dungeons\Gordovan_West_Tower\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Gordovan_West_Tower.png,1908,2464,120,154,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Gordovan_West_Tower\navigation\grid_coordinates.png,emulator\maps\Dungeons\Gordovan_West_Tower\annotations.json
Gratze_Castle,emulator\maps\Dungeons\Gratze_Castle\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Gratze_Castle.png,1772,1552,111,97,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Gratze_Castle\navigation\grid_coordinates.png,emulator\maps\Dungeons\Gratze_Castle\annotations.json
Kamirno_Tower,emulator\maps\Dungeons\Kamirno_Tower\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Kamirno_Tower.png,1164,1752,73,110,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Kamirno_Tower\navigation\grid_coordinates.png,emulator\maps\Dungeons\Kamirno_Tower\annotations.json
Karlloon_North_Shrine,emulator\maps\Dungeons\Karlloon_North_Shrine\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Karlloon_North_Shrine.png,1664,1636,104,103,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Karlloon_North_Shrine\navigation\grid_coordinates.png,emulator\maps\Dungeons\Karlloon_North_Shrine\annotations.json
Lake_Cave,emulator\maps\Dungeons\Lake_Cave\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Lake_Cave.png,850,1988,54,125,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Lake_Cave\navigation\grid_coordinates.png,emulator\maps\Dungeons\Lake_Cave\annotations.json
Mountain_Of_No_Return,emulator\maps\Dungeons\Mountain_Of_No_Return\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Mountain_Of_No_Return.png,984,1244,62,78,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Mountain_Of_No_Return\navigation\grid_coordinates.png,emulator\maps\Dungeons\Mountain_Of_No_Return\annotations.json
Northeast_Tower,emulator\maps\Dungeons\Northeast_Tower\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Northeast_Tower.png,1744,1452,109,91,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Northeast_Tower\navigation\grid_coordinates.png,emulator\maps\Dungeons\Northeast_Tower\annotations.json
Northern_Labyrinth,emulator\maps\Dungeons\Northern_Labyrinth\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Northern_Labyrinth.png,1728,1276,108,80,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Northern_Labyrinth\navigation\grid_coordinates.png,emulator\maps\Dungeons\Northern_Labyrinth\annotations.json
Northern_Lighthouse,emulator\maps\Dungeons\Northern_Lighthouse\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Northern_Lighthouse.png,1784,2456,112,154,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Northern_Lighthouse\navigation\grid_coordinates.png,emulator\maps\Dungeons\Northern_Lighthouse\annotations.json
Phantom_Tree_Mountain,emulator\maps\Dungeons\Phantom_Tree_Mountain\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Phantom_Tree_Mountain.png,1516,2112,95,132,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Phantom_Tree_Mountain\navigation\grid_coordinates.png,emulator\maps\Dungeons\Phantom_Tree_Mountain\annotations.json
Ruby_Cave,emulator\maps\Dungeons\Ruby_Cave\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Ruby_Cave.png,1008,2523,63,158,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Ruby_Cave\navigation\grid_coordinates.png,emulator\maps\Dungeons\Ruby_Cave\annotations.json
Secret_Skills_Cave,emulator\maps\Dungeons\Secret_Skills_Cave\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Secret_Skills_Cave.png,1200,1021,75,64,direct,runtime_registered_needs_object_curation,emulator\maps\Dungeons\Secret_Skills_Cave\navigation\grid_coordinates.png,emulator\maps\Dungeons\Secret_Skills_Cave\annotations.json
Shrine_Of_Vengeance,emulator\maps\Dungeons\Shrine_Of_Vengeance\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Shrine_Of_Vengeance.png,1608,2136,101,134,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Shrine_Of_Vengeance\navigation\grid_coordinates.png,emulator\maps\Dungeons\Shrine_Of_Vengeance\annotations.json
Shuman_Tower,emulator\maps\Dungeons\Shuman_Tower\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Shuman_Tower.png,1308,1352,82,85,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Shuman_Tower\navigation\grid_coordinates.png,emulator\maps\Dungeons\Shuman_Tower\annotations.json
Strahda_Tower,emulator\maps\Dungeons\Strahda_Tower\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Strahda_Tower.png,1260,1788,79,112,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Strahda_Tower\navigation\grid_coordinates.png,emulator\maps\Dungeons\Strahda_Tower\annotations.json
Tanbel_Southeast_Tower,emulator\maps\Dungeons\Tanbel_Southeast_Tower\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Tanbel_Southeast_Tower.png,1353,2464,85,154,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Tanbel_Southeast_Tower\navigation\grid_coordinates.png,emulator\maps\Dungeons\Tanbel_Southeast_Tower\annotations.json
Tower_Of_Sacrifice,emulator\maps\Dungeons\Tower_Of_Sacrifice\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Tower_Of_Sacrifice.png,1432,2032,90,127,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Tower_Of_Sacrifice\navigation\grid_coordinates.png,emulator\maps\Dungeons\Tower_Of_Sacrifice\annotations.json
Tower_Of_Truth,emulator\maps\Dungeons\Tower_Of_Truth\SNES - Lufia 2_ Rise of the Sinistrals - Dungeon - Tower_Of_Truth.png,2108,1568,132,98,unverified,needs_runtime_registration_and_object_curation,emulator\maps\Dungeons\Tower_Of_Truth\navigation\grid_coordinates.png,emulator\maps\Dungeons\Tower_Of_Truth\annotations.json
