Offset;SNES-Adresse;Vorher-Hex;Nachher-Hex;Vorher-Dezimal;Nachher-Dezimal;Delta
0x00040;7E:0040;0xE3;0xCF;227;207;-20
0x00041;7E:0041;0x0E;0x22;14;34;20
0x00042;7E:0042;0x4D;0x39;77;57;-20
0x00043;7E:0043;0x12;0x26;18;38;20
0x00180;7E:0180;0xB7;0xB8;183;184;1
0x00184;7E:0184;0xC7;0xC8;199;200;1
0x00188;7E:0188;0xD7;0xD8;215;216;1
0x0018C;7E:018C;0xB7;0xB8;183;184;1
0x00190;7E:0190;0xC7;0xC8;199;200;1
0x00194;7E:0194;0xD7;0xD8;215;216;1
0x00B4E;7E:0B4E;0x03;0x05;3;5;2
0x00B4F;7E:0B4F;0x32;0x0F;50;15;-35
0x01230;7E:1230;0xED;0x76;237;118;-119
0x01231;7E:1231;0x72;0xB9;114;185;71
0x01232;7E:1232;0x94;0x4A;148;74;-74
0x01233;7E:1233;0x38;0x9C;56;156;100
0x01234;7E:1234;0x4C;0x26;76;38;-38
0x01235;7E:1235;0x46;0x23;70;35;-35
0x01236;7E:1236;0xC3;0xE1;195;225;30
0x01237;7E:1237;0x97;0x4B;151;75;-76
0x01238;7E:1238;0x71;0xB8;113;184;71
0x01239;7E:1239;0x8F;0xC7;143;199;56
0x01401;7E:1401;0xFF;0x00;255;0;-255
0x01402;7E:1402;0xFF;0x00;255;0;-255
0x04974;7E:4974;0xB7;0xB8;183;184;1
0x04979;7E:4979;0xC7;0xC8;199;200;1
0x0497E;7E:497E;0xD7;0xD8;215;216;1
0x04983;7E:4983;0xB7;0xB8;183;184;1
0x04988;7E:4988;0xC7;0xC8;199;200;1
0x0498D;7E:498D;0xD7;0xD8;215;216;1
