Offset;SNES-Adresse;Region;Vorher;Nachher;Vorher-Hex;Nachher-Hex;Delta;Bits geaendert;BootScore
0x00040;7E:0040;Stack + Direct Page (7E:0000-07FF);35;58;0x23;0x3A;23;25;
0x00042;7E:0042;Stack + Direct Page (7E:0000-07FF);35;58;0x23;0x3A;23;25;
0x0004E;7E:004E;Stack + Direct Page (7E:0000-07FF);30;21;0x1E;0x15;-9;11;
0x00050;7E:0050;Stack + Direct Page (7E:0000-07FF);2;3;0x02;0x03;1;1;
0x00056;7E:0056;Stack + Direct Page (7E:0000-07FF);23;5;0x17;0x05;-18;18;
0x0005E;7E:005E;Stack + Direct Page (7E:0000-07FF);192;0;0xC0;0x00;-192;192;
0x0005F;7E:005F;Stack + Direct Page (7E:0000-07FF);144;152;0x90;0x98;8;8;
0x00060;7E:0060;Stack + Direct Page (7E:0000-07FF);0;244;0x00;0xF4;244;244;
0x00061;7E:0061;Stack + Direct Page (7E:0000-07FF);64;61;0x40;0x3D;-3;125;
0x00062;7E:0062;Stack + Direct Page (7E:0000-07FF);126;186;0x7E;0xBA;60;196;
0x0055A;7E:055A;Stack + Direct Page (7E:0000-07FF);221;198;0xDD;0xC6;-23;27;
0x0055C;7E:055C;Stack + Direct Page (7E:0000-07FF);221;198;0xDD;0xC6;-23;27;
0x00583;7E:0583;Stack + Direct Page (7E:0000-07FF);14;15;0x0E;0x0F;1;1;
0x0058F;7E:058F;Stack + Direct Page (7E:0000-07FF);0;255;0x00;0xFF;255;255;
0x00590;7E:0590;Stack + Direct Page (7E:0000-07FF);0;255;0x00;0xFF;255;255;
0x00591;7E:0591;Stack + Direct Page (7E:0000-07FF);0;255;0x00;0xFF;255;255;
0x00592;7E:0592;Stack + Direct Page (7E:0000-07FF);0;255;0x00;0xFF;255;255;
0x00593;7E:0593;Stack + Direct Page (7E:0000-07FF);0;255;0x00;0xFF;255;255;
0x00B50;7E:0B50;WRAM Mirror / System Work;35;58;0x23;0x3A;23;25;
0x01FD1;7E:1FD1;DMA/HDMA Buffers;179;134;0xB3;0x86;-45;53;
0x01FD2;7E:1FD2;DMA/HDMA Buffers;146;59;0x92;0x3B;-87;169;
0x01FD3;7E:1FD3;DMA/HDMA Buffers;128;158;0x80;0x9E;30;30;
0x01FD4;7E:1FD4;DMA/HDMA Buffers;181;206;0xB5;0xCE;25;123;
0x01FD5;7E:1FD5;DMA/HDMA Buffers;106;9;0x6A;0x09;-97;99;
0x01FD6;7E:1FD6;DMA/HDMA Buffers;0;190;0x00;0xBE;190;190;
0x01FD7;7E:1FD7;DMA/HDMA Buffers;128;0;0x80;0x00;-128;128;
0x01FD8;7E:1FD8;DMA/HDMA Buffers;99;152;0x63;0x98;53;251;
0x01FD9;7E:1FD9;DMA/HDMA Buffers;134;37;0x86;0x25;-97;163;
0x01FDA;7E:1FDA;DMA/HDMA Buffers;55;37;0x37;0x25;-18;18;
0x01FDB;7E:1FDB;DMA/HDMA Buffers;61;155;0x3D;0x9B;94;166;
0x01FDC;7E:1FDC;DMA/HDMA Buffers;0;153;0x00;0x99;153;153;
0x01FDD;7E:1FDD;DMA/HDMA Buffers;0;128;0x00;0x80;128;128;
0x01FDE;7E:1FDE;DMA/HDMA Buffers;205;159;0xCD;0x9F;-46;82;
0x01FDF;7E:1FDF;DMA/HDMA Buffers;0;152;0x00;0x98;152;152;
0x01FE1;7E:1FE1;DMA/HDMA Buffers;6;36;0x06;0x24;30;34;
0x01FE2;7E:1FE2;DMA/HDMA Buffers;147;55;0x93;0x37;-92;164;
0x01FE3;7E:1FE3;DMA/HDMA Buffers;179;61;0xB3;0x3D;-118;142;
0x01FE4;7E:1FE4;DMA/HDMA Buffers;146;27;0x92;0x1B;-119;137;
0x01FE5;7E:1FE5;DMA/HDMA Buffers;128;0;0x80;0x00;-128;128;
0x01FE6;7E:1FE6;DMA/HDMA Buffers;179;46;0xB3;0x2E;-133;157;
0x01FE7;7E:1FE7;DMA/HDMA Buffers;146;151;0x92;0x97;5;5;
0x01FE8;7E:1FE8;DMA/HDMA Buffers;128;5;0x80;0x05;-123;133;
0x01FE9;7E:1FE9;DMA/HDMA Buffers;181;164;0xB5;0xA4;-17;17;
0x01FEA;7E:1FEA;DMA/HDMA Buffers;106;55;0x6A;0x37;-51;93;
0x01FEB;7E:1FEB;DMA/HDMA Buffers;0;61;0x00;0x3D;61;61;
0x01FEC;7E:1FEC;DMA/HDMA Buffers;128;255;0x80;0xFF;127;127;
0x01FED;7E:1FED;DMA/HDMA Buffers;99;255;0x63;0xFF;156;156;
0x01FEE;7E:1FEE;DMA/HDMA Buffers;134;255;0x86;0xFF;121;121;
0x01FEF;7E:1FEF;DMA/HDMA Buffers;55;244;0x37;0xF4;189;195;
0x01FF0;7E:1FF0;DMA/HDMA Buffers;61;147;0x3D;0x93;86;174;
0x01FF1;7E:1FF1;DMA/HDMA Buffers;0;128;0x00;0x80;128;128;
0x01FF2;7E:1FF2;DMA/HDMA Buffers;0;38;0x00;0x26;38;38;
0x01FF3;7E:1FF3;DMA/HDMA Buffers;171;55;0xAB;0x37;-116;156;
0x01FF4;7E:1FF4;DMA/HDMA Buffers;3;61;0x03;0x3D;58;62;
0x01FF5;7E:1FF5;DMA/HDMA Buffers;128;0;0x80;0x00;-128;128;
0x01FF6;7E:1FF6;DMA/HDMA Buffers;165;0;0xA5;0x00;-165;165;
0x01FF7;7E:1FF7;DMA/HDMA Buffers;165;0;0xA5;0x00;-165;165;
0x01FF8;7E:1FF8;DMA/HDMA Buffers;157;210;0x9D;0xD2;53;79;
