offset,address,score,action_hits,trials,control_hits,consistency,checklist_status,checklist_label,transitions
13620,7E:3534,90.0,5,5,0,0.6,~,Spieler-X | Dungeon-X-Paar: 7E:3532 / 7E:3534,"02->09 x3, 09->02 x2"
13624,7E:3538,90.0,5,5,0,0.6,,,"09->02 x3, 02->09 x2"
13812,7E:35F4,90.0,5,5,0,0.6,,,"5F->7F x3, 7F->5F x2"
13816,7E:35F8,90.0,5,5,0,0.6,,,"7F->5F x3, 5F->7F x2"
13987,7E:36A3,90.0,5,5,0,0.6,,,"90->18 x3, 18->90 x2"
14279,7E:37C7,90.0,5,5,0,0.6,,,"03->02 x3, 02->03 x2"
14319,7E:37EF,90.0,5,5,0,0.6,,,"01->00 x3, 00->01 x2"
14472,7E:3888,90.0,5,5,0,0.6,x,Shop-Cursorposition,"03->02 x3, 02->03 x2"
9300,7E:2454,85.0,5,5,0,0.4,x,vier Save-Slot-Strukturen | aktuell markierter Save-Slot,"88->10 x2, 10->88 x2, 88->00 x1"
9286,7E:2446,70.0,4,5,0,0.5,,,"44->40 x2, 40->00 x1, 40->44 x1"
9290,7E:244A,70.0,4,5,0,0.5,,,"46->42 x2, 42->00 x1, 42->46 x1"
9294,7E:244E,70.0,4,5,0,0.5,,,"40->44 x2, 44->00 x1, 44->40 x1"
9298,7E:2452,70.0,4,5,0,0.5,,,"42->46 x2, 46->00 x1, 46->42 x1"
13912,7E:3658,70.0,4,5,0,0.5,,,"D0->DB x2, DB->D0 x2"
14200,7E:3778,70.0,4,5,0,0.5,,,"00->01 x2, 01->00 x2"
9045,7E:2355,65.0,4,5,0,0.25,,,"65->66 x1, 66->67 x1, 69->6A x1, 6A->6B x1"
9047,7E:2357,65.0,4,5,0,0.25,,,"65->66 x1, 66->67 x1, 69->6A x1, 6A->6B x1"
10353,7E:2871,65.0,4,5,0,0.25,,,"9A->99 x1, 99->98 x1, 96->95 x1, 95->94 x1"
13908,7E:3654,55.0,3,5,0,0.667,,,"DB->D0 x2, D0->DB x1"
14196,7E:3774,55.0,3,5,0,0.667,,,"01->00 x2, 00->01 x1"
10350,7E:286E,26.0,4,5,3,0.25,,,"03->01 x1, 02->03 x1, 04->0E x1, 04->01 x1"
9064,7E:2368,20.0,1,5,0,1.0,~,Spieler-X | Spieler hat seit letzter Aktion Position verändert | 7E:2368 / 7E:236B = Dungeon-X lokal + Chunk/Page,22->0E x1
9068,7E:236C,20.0,1,5,0,1.0,,,08->00 x1
