offset,address,score,action_hits,trials,control_hits,consistency,checklist_status,checklist_label,transitions
10622,7E:297E,100.0,5,5,0,1.0,,,04->00 x5
10662,7E:29A6,100.0,5,5,0,1.0,,,04->00 x5
11445,7E:2CB5,100.0,5,5,0,1.0,x,7E:2CB5–7E:2CB9 = Richtungsverlauf/FIFO,00->01 x5
14213,7E:3785,100.0,5,5,0,1.0,,,04->00 x5
25654,7E:6436,100.0,5,5,0,1.0,,,11->10 x5
9029,7E:2345,95.0,5,5,0,0.8,,,"11->16 x4, 04->16 x1"
9070,7E:236E,95.0,5,5,0,0.8,~,Spieler-Y | Spieler hat seit letzter Aktion Position verändert | 7E:236E / 7E:236F = Dungeon-Y lokal + Chunk/Page,"10->20 x4, 10->30 x1"
9125,7E:23A5,95.0,5,5,0,0.8,,,"2F->1F x4, 2F->0F x1"
9141,7E:23B5,95.0,5,5,0,0.8,,,"00->10 x4, 00->20 x1"
9325,7E:246D,95.0,5,5,0,0.8,,,"5F->4F x4, 5F->3F x1"
9329,7E:2471,95.0,5,5,0,0.8,,,"6F->5F x4, 6F->4F x1"
9333,7E:2475,95.0,5,5,0,0.8,,,"3F->2F x4, 3F->1F x1"
9337,7E:2479,95.0,5,5,0,0.8,,,"4F->3F x4, 4F->2F x1"
9341,7E:247D,95.0,5,5,0,0.8,,,"3F->2F x4, 3F->1F x1"
9345,7E:2481,95.0,5,5,0,0.8,,,"4F->3F x4, 4F->2F x1"
9349,7E:2485,95.0,5,5,0,0.8,,,"2F->1F x4, 2F->0F x1"
9353,7E:2489,95.0,5,5,0,0.8,,,"3F->2F x4, 3F->1F x1"
10410,7E:28AA,95.0,5,5,0,0.8,~,Spieler-Y | Spieler hat seit letzter Aktion Position verändert | Stadt-Y: 7E:28AA,"00->10 x4, 00->20 x1"
10414,7E:28AE,95.0,5,5,0,0.8,,,"00->10 x4, 00->20 x1"
10426,7E:28BA,95.0,5,5,0,0.8,,,"00->10 x4, 00->20 x1"
10742,7E:29F6,95.0,5,5,0,0.8,,,"07->08 x4, 07->09 x1"
13567,7E:34FF,95.0,5,5,0,0.8,,,"00->C0 x4, 80->00 x1"
13626,7E:353A,95.0,5,5,0,0.8,~,Spieler-Y | Dungeon-Y-Paar: 7E:353A / 7E:353C,"00->10 x4, 00->20 x1"
13628,7E:353C,95.0,5,5,0,0.8,~,Spieler-Y | Dungeon-Y-Paar: 7E:353A / 7E:353C,"00->10 x4, 00->20 x1"
129034,7F:F80A,95.0,5,5,0,0.8,,,"00->01 x4, 55->01 x1"
9301,7E:2455,90.0,5,5,0,0.6,x,vier Save-Slot-Strukturen | aktuell markierter Save-Slot | aktueller geladener Save-Slot | Überschreiben-Bestätigung,"6F->5F x3, 8F->6F x1, 7F->6F x1"
9305,7E:2459,90.0,5,5,0,0.6,,,"7F->6F x3, 9F->7F x1, 8F->7F x1"
9309,7E:245D,90.0,5,5,0,0.6,,,"6F->5F x3, 7F->5F x1, 6F->4F x1"
9313,7E:2461,90.0,5,5,0,0.6,,,"7F->6F x3, 8F->6F x1, 7F->5F x1"
9317,7E:2465,90.0,5,5,0,0.6,,,"5F->4F x3, 6F->5F x2"
9321,7E:2469,90.0,5,5,0,0.6,,,"6F->5F x3, 7F->6F x2"
13551,7E:34EF,90.0,5,5,0,0.6,,,"FC->9C x3, 01->9C x1, 9D->FC x1"
13568,7E:3500,90.0,5,5,0,0.6,,,"2A->28 x3, 00->28 x1, 28->2A x1"
9310,7E:245E,85.0,5,5,0,0.4,,,"88->8C x2, 8C->A4 x1, 88->A0 x1, A0->A4 x1"
9314,7E:2462,85.0,5,5,0,0.4,,,"8A->8E x2, 8E->A6 x1, 8A->A2 x1, A2->A6 x1"
9318,7E:2466,85.0,5,5,0,0.4,,,"A4->A0 x2, A0->8C x1, A4->88 x1, 88->8C x1"
9322,7E:246A,85.0,5,5,0,0.4,,,"A6->A2 x2, A2->8E x1, A6->8A x1, 8A->8E x1"
13565,7E:34FD,85.0,5,5,0,0.4,,,"80->40 x2, 40->80 x1, 00->40 x1, C0->80 x1"
13569,7E:3501,85.0,5,5,0,0.4,,,"40->00 x2, 00->40 x1, 40->80 x1, 80->40 x1"
67094,7F:0616,85.0,5,5,0,0.4,,,"03->02 x2, 02->00 x1, 03->01 x1, 01->00 x1"
67096,7F:0618,85.0,5,5,0,0.4,,,"00->01 x2, 01->02 x1, 00->03 x1, 03->02 x1"
10743,7E:29F7,80.0,4,5,0,1.0,,,08->07 x4
13634,7E:3542,80.0,4,5,0,1.0,,,00->80 x4
13636,7E:3544,80.0,4,5,0,1.0,,,00->80 x4
25694,7E:645E,80.0,4,5,0,1.0,,,00->01 x4
9020,7E:233C,75.0,4,5,0,0.75,,,"00->0F x3, 00->10 x1"
9028,7E:2344,75.0,4,5,0,0.75,,,"92->42 x3, BE->42 x1"
9117,7E:239D,75.0,4,5,0,0.75,,,"00->0F x3, 00->10 x1"
9302,7E:2456,75.0,4,5,0,0.75,,,"A0->A4 x3, 8C->88 x1"
9306,7E:245A,75.0,4,5,0,0.75,,,"A2->A6 x3, 8E->8A x1"
13635,7E:3543,75.0,4,5,0,0.75,,,"28->2F x3, 00->2F x1"
13637,7E:3545,75.0,4,5,0,0.75,,,"20->27 x3, 00->27 x1"
67092,7F:0614,75.0,4,5,0,0.75,,,"01->00 x3, 02->03 x1"
9032,7E:2348,70.0,4,5,0,0.5,,,"EC->84 x2, 00->C4 x1, 9C->C4 x1"
9326,7E:246E,70.0,4,5,0,0.5,,,"A4->A0 x2, 8C->88 x2"
9330,7E:2472,70.0,4,5,0,0.5,,,"A6->A2 x2, 8E->8A x2"
10744,7E:29F8,70.0,4,5,0,0.5,,,"09->08 x2, 07->08 x2"
10745,7E:29F9,70.0,4,5,0,0.5,,,"08->07 x2, 0A->09 x1, 08->09 x1"
13555,7E:34F3,70.0,4,5,0,0.5,,,"9C->9D x2, 00->FC x1, 9D->FC x1"
67098,7F:061A,70.0,4,5,0,0.5,,,"00->01 x2, 02->03 x2"
9016,7E:2338,60.0,3,5,0,1.0,,,00->80 x3
9017,7E:2339,60.0,3,5,0,1.0,,,00->07 x3
9025,7E:2341,60.0,3,5,0,1.0,,,08->88 x3
9026,7E:2342,60.0,3,5,0,1.0,,,00->07 x3
9303,7E:2457,60.0,3,5,0,1.0,,,22->24 x3
9307,7E:245B,60.0,3,5,0,1.0,,,22->24 x3
9319,7E:2467,60.0,3,5,0,1.0,,,24->22 x3
9323,7E:246B,60.0,3,5,0,1.0,,,24->22 x3
